iter	Passed	Remaining
0	156	156613
1	158	79029
2	159	53027
3	160	40048
4	162	32293
5	163	27145
6	165	23421
7	166	20617
8	167	18440
9	169	16739
10	170	15353
11	172	14176
12	173	13166
13	174	12304
14	176	11571
15	177	10931
16	179	10351
17	180	9836
18	181	9370
19	183	8983
20	185	8637
21	186	8299
22	188	7988
23	189	7707
24	191	7451
25	192	7200
26	193	6967
27	194	6749
28	195	6549
29	197	6374
30	198	6218
31	200	6057
32	201	5907
33	202	5762
34	204	5626
35	205	5498
36	206	5373
37	207	5255
38	208	5144
39	210	5041
40	211	4953
41	213	4874
42	215	4787
43	216	4699
44	217	4625
45	219	4546
46	220	4468
47	221	4394
48	222	4323
49	223	4254
50	225	4198
51	227	4143
52	228	4081
53	229	4019
54	230	3961
55	231	3906
56	232	3852
57	233	3799
58	235	3749
59	236	3701
60	237	3654
61	238	3607
62	239	3567
63	241	3533
64	242	3494
65	244	3454
66	245	3414
67	246	3374
68	247	3337
69	248	3300
70	249	3265
71	250	3230
72	251	3197
73	252	3165
74	254	3133
75	255	3109
76	257	3082
77	258	3054
78	259	3024
79	260	2994
80	261	2964
81	262	2937
82	263	2905
83	264	2879
84	265	2855
85	266	2830
86	267	2806
87	268	2783
88	270	2768
89	271	2749
90	273	2728
91	274	2706
92	275	2684
93	276	2663
94	277	2643
95	278	2624
96	279	2604
97	280	2585
98	282	2567
99	283	2548
100	284	2535
101	286	2521
102	287	2504
103	288	2487
104	289	2469
105	290	2451
106	291	2435
107	292	2419
108	294	2404
109	295	2389
110	296	2374
111	297	2359
112	299	2347
113	300	2339
114	302	2325
115	303	2313
116	304	2301
117	306	2290
118	307	2277
119	308	2264
120	309	2251
121	310	2237
122	312	2225
123	313	2216
124	315	2208
125	317	2200
126	318	2190
127	320	2180
128	321	2170
129	322	2158
130	323	2147
131	324	2136
132	325	2125
133	327	2115
134	329	2109
135	330	2101
136	332	2092
137	333	2084
138	334	2073
139	335	2063
140	337	2053
141	337	2041
142	338	2031
143	340	2021
144	341	2012
145	342	2004
146	344	1998
147	345	1989
148	346	1981
149	348	1972
150	349	1963
151	350	1954
152	351	1945
153	352	1935
154	353	1927
155	354	1918
156	355	1910
157	356	1902
158	358	1896
159	360	1890
160	361	1881
161	362	1876
162	363	1868
163	364	1859
164	365	1851
165	366	1843
166	367	1835
167	369	1827
168	370	1822
169	371	1815
170	374	1813
171	375	1807
172	376	1800
173	378	1795
174	379	1789
175	381	1783
176	382	1778
177	383	1772
178	385	1766
179	386	1760
180	387	1755
181	389	1749
182	390	1743
183	391	1737
184	392	1730
185	394	1726
186	395	1720
187	396	1714
188	397	1707
189	399	1701
190	399	1694
191	401	1688
192	402	1684
193	404	1679
194	405	1675
195	406	1669
196	408	1664
197	409	1658
198	410	1651
199	411	1645
200	412	1639
201	413	1632
202	414	1626
203	415	1620
204	416	1616
205	418	1611
206	419	1606
207	420	1600
208	421	1594
209	422	1588
210	423	1582
211	424	1576
212	425	1570
213	426	1564
214	426	1558
215	427	1553
216	428	1547
217	429	1541
218	430	1535
219	432	1531
220	433	1527
221	434	1521
222	435	1517
223	436	1511
224	437	1507
225	438	1502
226	439	1497
227	440	1491
228	441	1486
229	442	1481
230	443	1476
231	444	1470
232	445	1465
233	446	1462
234	447	1458
235	449	1454
236	450	1449
237	451	1444
238	452	1439
239	453	1434
240	454	1430
241	455	1425
242	455	1420
243	456	1415
244	457	1410
245	458	1405
246	459	1400
247	460	1396
248	461	1393
249	463	1389
250	464	1385
251	465	1380
252	466	1375
253	466	1371
254	467	1366
255	468	1362
256	469	1357
257	470	1353
258	471	1348
259	472	1344
260	473	1339
261	474	1335
262	475	1332
263	476	1329
264	478	1325
265	479	1322
266	480	1318
267	481	1314
268	482	1311
269	484	1308
270	485	1305
271	486	1302
272	487	1299
273	488	1295
274	490	1292
275	491	1288
276	492	1285
277	493	1282
278	494	1278
279	495	1275
280	496	1271
281	497	1267
282	499	1264
283	500	1261
284	501	1257
285	502	1253
286	503	1250
287	504	1247
288	506	1245
289	507	1243
290	509	1240
291	510	1236
292	511	1233
293	512	1230
294	513	1226
295	514	1223
296	515	1219
297	517	1218
298	518	1216
299	523	1220
300	525	1219
301	526	1216
302	527	1213
303	528	1210
304	529	1206
305	530	1203
306	531	1200
307	532	1196
308	535	1197
309	536	1194
310	538	1192
311	539	1188
312	540	1186
313	541	1182
